Libro;Publisher;DOI;Proprietary Identifier;ISBN;ISSN;11-2018;12-2018;01-2019;02-2019;03-2019;Archivo;Usuario;Recurso
Soil Pollution;Elsevier;; ;978-0-12-849873-6;;0;0;0;10;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Space Safety and Human Performance;Elsevier;; ;978-0-08-101869-9;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Sprouted Grains;AACC International Press;; ;978-0-12-811525-1;;0;0;0;0;10;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Stream Ecosystems in a Changing Environment;Elsevier;; ;978-0-12-405890-3;;0;0;0;13;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Studies in Natural Products Chemistry;Elsevier;; ;978-0-444-59514-0;1572-5995;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Studies in Natural Products Chemistry Vol: 49;Elsevier;; ;978-0-444-63601-0;1572-5995;1;0;0;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Submerged and Floating Photovoltaic Systems;Elsevier;; ;978-0-12-812149-8;;3;0;0;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Successful Fundraising for the Academic Library;Chandos Publishing;; ;978-0-08-101130-0;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Supercritical Fluid Chromatography;Elsevier;; ;978-0-12-809207-1;;0;0;0;0;18;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Supercritical Fluids and Organometallic Compounds;Elsevier;; ;978-0-08-045329-3;2212-0505;0;0;0;2;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Sustainability Assessment;Elsevier;; ;978-0-12-407196-4;;0;0;0;14;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Sustainable Management of Arthropod Pests of Tomato;Elsevier;; ;978-0-12-802441-6;;0;0;0;38;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Sustainable Protein Sources;Elsevier;; ;978-0-12-802778-3;;0;0;0;1;2;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Swainson's Handbook of Technical and Quality Management for the Food Manufacturing Sector;Woodhead Publishing;; ;978-1-78242-275-4;;0;0;0;2;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
The Application of Green Solvents in Separation Processes;Elsevier;; ;978-0-12-805297-6;;0;0;0;0;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
The History of Alternative Test Methods in Toxicology;Elsevier;; ;978-0-12-813697-3;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
The Illustrated Network (Second Edition);Elsevier;; ;978-0-12-811027-0;;0;2;0;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
The Laboratory Rabbit, Guinea Pig, Hamster, and Other Rodents;Elsevier;; ;978-0-12-380920-9;;0;0;2;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
The Psychology of Criminal and Antisocial Behavior;Elsevier;; ;978-0-12-809287-3;;0;0;0;0;2;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
The Role of Functional Food Security in Global Health;Elsevier;; ;978-0-12-813148-0;;0;0;0;1;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
The Science of Animal Growth and Meat Technology (Second Edition);Elsevier;; ;978-0-12-815277-5;;0;0;0;2;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Thorp and Covich's Freshwater Invertebrates (Fourth Edition);Elsevier;; ;978-0-12-804223-6;;0;0;1;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Tomato Diseases (Second Edition);Elsevier;; ;978-0-12-387737-6;;0;0;0;5;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Total Quality Management;Elsevier;; ;978-0-12-811035-5;;0;0;2;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Transformative Paleobotany;Elsevier;; ;978-0-12-813012-4;;0;0;0;7;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Transfusion Medicine and Hemostasis (Third Edition);Elsevier;; ;978-0-12-813726-0;;1;0;0;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Transfusion Medicine, Apheresis, and Hemostasis;Elsevier;; ;978-0-12-803999-1;;1;0;0;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Tratamiento Quirúrgico de la Obesidad;Elsevier;; ;978-84-8086-428-2;;0;0;3;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Ultrasound;Elsevier;; ;978-0-12-804581-7;;0;0;0;0;19;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Vegetarian and Plant-Based Diets in Health and Disease Prevention;Elsevier;; ;978-0-12-803968-7;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Veterinary Medicine (Eleventh Edition);Elsevier;; ;978-0-7020-5246-0;;0;0;4;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Waste Biorefinery;Elsevier;; ;978-0-444-63992-9;;0;0;0;0;2;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Water for the Environment;Elsevier;; ;978-0-12-803907-6;;0;0;215;72;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Water Policy Science and Politics;Elsevier;; ;978-0-12-814903-4;;0;0;0;17;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Working with Dynamic Crop Models (Third Edition);Elsevier;; ;978-0-12-811756-9;;0;0;0;0;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Yogurt in Health and Disease Prevention;Elsevier;; ;978-0-12-805134-4;;0;0;0;2;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
