Libro;Publisher;DOI;Proprietary Identifier;ISBN;ISSN;01-2019;02-2019;03-2019;Archivo;Usuario;Recurso
Feed and Feeding Practices in Aquaculture;Woodhead Publishing;; ;978-0-08-100506-4;;0;5;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Ferrets, Rabbits, and Rodents (Third Edition);Elsevier;; ;978-1-4160-6621-7;;1;0;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Field Guide to Freshwater Invertebrates of North America;Elsevier;; ;978-0-12-381426-5;;0;29;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Flavour Science;Elsevier;; ;978-0-12-398549-1;;2;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Flow-Induced Vibrations (Second Edition);Elsevier;; ;978-0-08-098347-9;;0;0;9;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Fluid, Electrolyte, and Acid-Base Disorders in Small Animal Practice (Fourth Edition);Elsevier;; ;978-1-4377-0654-3;;0;29;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Food Industry Wastes;Elsevier;; ;978-0-12-391921-2;;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Food Packaging and Preservation;Elsevier;; ;978-0-12-811516-9;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Food Preservation;Elsevier;; ;978-0-12-804303-5;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Food Processing Technology (Fourth Edition);Woodhead Publishing;; ;978-0-08-101907-8;;0;3;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Food Safety Management;Elsevier;; ;978-0-12-381504-0;;0;3;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Forensic DNA Biology;Elsevier;; ;978-0-12-394585-3;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Fowler's Zoo and Wild Animal Medicine;Elsevier;; ;978-1-4377-1986-4;;0;0;88;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
FPGAs 101;Elsevier;; ;978-1-85617-706-1;;10;0;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
From Academia to Entrepreneur;Elsevier;; ;978-0-12-410516-4;;0;2;15;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Fukushima Accident;Elsevier;; ;978-0-12-408132-1;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Functional Movement Development Across the Life Span (Third Edition);Elsevier;; ;978-1-4160-4978-4;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Fundamentals of Ecosystem Science;Elsevier;; ;978-0-12-088774-3;;0;19;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Fundamentals of Geoenvironmental Engineering;Elsevier;; ;978-0-12-804830-6;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Fundamentals of Soil Ecology (Third Edition);Elsevier;; ;978-0-12-805251-8;;0;23;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Fundamentals of Toxicologic Pathology (Third Edition);Elsevier;; ;978-0-12-809841-7;;0;2;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Fundamentos de las enfermedades del tórax  (Tercera Edición);Elsevier;; ;978-84-458-1603-5;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Gastroenterology and Nutrition: Neonatology Questions and Controversies (Second Edition);Elsevier;; ;978-1-4377-2603-9;;0;22;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Genetically Modified Food Sources;Elsevier;; ;978-0-12-405878-1;;0;0;8;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Genomics in Aquaculture;Elsevier;; ;978-0-12-801418-9;;11;0;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Geometric Morphometrics for Biologists (Second Edition);Elsevier;; ;978-0-12-386903-6;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Gestión Diaria del Hospital  (Tercera Edición);Elsevier;; ;978-84-458-1666-0;;0;1;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
GI/Liver Secrets (Fourth Edition);Elsevier;; ;978-0-323-06397-5;;2;0;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Gluten-Free Ancient Grains;Woodhead Publishing;; ;978-0-08-100866-9;;0;0;25;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Hacking Web Apps;Elsevier;; ;978-1-59749-951-4;;0;0;9;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Advanced Chromatography/Mass Spectrometry Techniques;AOCS Press;; ;978-0-12-811732-3;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Agricultural Economics Vol: 4;Elsevier;; ;978-0-444-51874-3;1574-0072;0;1;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Behavioral Economics - Foundations and Applications 1;Elsevier;; ;978-0-444-63374-3;2352-2399;0;27;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Behavioral Economics - Foundations and Applications 2;Elsevier;; ;978-0-444-63375-0;2352-2399;0;14;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Biologically Active Peptides (Second Edition);Elsevier;; ;978-0-12-385095-9;;1;3;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Biopolymers and Biodegradable Plastics;William Andrew Publishing;; ;978-1-4557-2834-3;;0;0;3;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Cannabis and Related Pathologies;Elsevier;; ;978-0-12-800756-3;;0;5;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Child and Adolescent Sexuality;Elsevier;; ;978-0-12-387759-8;;0;0;29;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Clay Science;Elsevier;; ;978-0-08-099364-5;1572-4352;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Computational Economics Vol. 3;Elsevier;; ;978-0-444-52980-0;1574-0021;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Econometrics Vol: 1;Elsevier;; ;978-0-444-86185-6;1573-4412;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Econometrics Vol: 6;Elsevier;; ;978-0-444-50631-3;1573-4412;0;0;3;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Economic Growth Vol: 1;Elsevier;; ;978-0-444-52041-8;1574-0684;0;2;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Environmental Degradation of Materials (Third Edition);William Andrew Publishing;; ;978-0-323-52472-8;;0;0;56;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Farm, Dairy and Food Machinery Engineering (Second Edition);Elsevier;; ;978-0-12-385881-8;;0;3;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Field Experiments;Elsevier;; ;978-0-444-63324-8;2214-658X;1;0;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Health Economics;Elsevier;; ;978-0-444-53592-4;1574-0064;0;2;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Income Distribution;Elsevier;; ;978-0-444-59430-3;1574-0056;0;0;36;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Industrial Organization Vol: 1;Elsevier;; ;978-0-444-70434-4;1573-448X;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Industrial Organization Vol: 2;Elsevier;; ;978-0-444-70435-1;1573-448X;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Industrial Organization Vol: 3;Elsevier;; ;978-0-444-82435-6;1573-448X;0;2;4;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Labor Economics Vol: 3;Elsevier;; ;978-0-444-50187-5;1573-4463;0;3;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Labor Economics Vol: 3;Elsevier;; ;978-0-444-50188-2;1573-4463;0;0;4;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Labor Economics Vol: 3;Elsevier;; ;978-0-444-50189-9;1573-4463;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Law and Economics Vol: 1;Elsevier;; ;978-0-444-51235-2;1574-0730;1;3;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Liquefied Natural Gas;Elsevier;; ;978-0-12-404585-9;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Macroeconomics Vol: 2;Elsevier;; ;978-0-444-59487-7;1574-0048;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Mammalian Vocalization;Elsevier;; ;978-0-12-374593-4;1569-7339;1;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Mathematical Economics Vol: 2;Elsevier;; ;978-0-444-86127-6;1573-4382;0;2;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Media Economics;Elsevier;; ;978-0-444-63691-1;2213-6630;0;2;22;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Modern Pharmaceutical Analysis;Elsevier;; ;978-0-12-375680-0;1877-1718;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Monetary Economics Vol: 3;Elsevier;; ;978-0-444-53470-5;1573-4498;2;0;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Neuroendocrinology;Elsevier;; ;978-0-12-375097-6;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Odors in Plastic Materials;William Andrew Publishing;; ;978-1-895198-51-5;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Organizational Creativity;Elsevier;; ;978-0-12-374714-3;;0;0;28;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Polymer Applications in Medicine and Medical Devices;William Andrew Publishing;; ;978-0-323-22805-3;;0;0;7;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Polymers;Elsevier;; ;978-1-895198-47-8;;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Proteolytic Enzymes (Third Edition);Elsevier;; ;978-0-12-382219-2;;0;9;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of Regional and Urban Economics;Elsevier;; ;978-0-444-59533-1;1574-0080;0;20;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of the Economics of Art and Culture;Elsevier;; ;978-0-444-53776-8;1574-0676;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of The Economics of Education;Elsevier;; ;978-0-444-53444-6;1574-0692;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of the Economics of Education Vol: 1;Elsevier;; ;978-0-444-51399-1;1574-0692;0;4;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of the Economics of Finance Vol: 2;Elsevier;; ;978-0-444-53594-8;1574-0102;1;2;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of the Economics of Finance Vol: 2;Elsevier;; ;978-0-444-59406-8;1574-0102;0;2;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of the Economics of International Migration;Elsevier;; ;978-0-444-63372-9;2212-0092;0;2;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of the Economics of Population Aging Vol: 1;Elsevier;; ;978-0-444-63405-4;2212-0076;0;0;20;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbook of the Economics of Risk and Uncertainty;Elsevier;; ;978-0-444-53685-3;2211-7547;0;2;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Handbooks in Economics;Elsevier;; ;978-0-444-52944-2;1573-4471;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Harnessing the Power of Viruses;Elsevier;; ;978-0-12-810514-6;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Haschek and Rousseaux's Handbook of Toxicologic Pathology (Third Edition);Elsevier;; ;978-0-12-415759-0;;0;3;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Health Care and Environmental Contamination;Elsevier;; ;978-0-444-63857-1;;0;13;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Human Stem Cell Manual (Second Edition);Elsevier;; ;978-0-12-385473-5;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Hydraulic Fracturing Chemicals and Fluids Technology;Elsevier;; ;978-0-12-411491-3;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Hyperkinetic Movement Disorders;Elsevier;; ;978-0-444-52014-2;0072-9752;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Hyperspectral Imaging for Food Quality Analysis and Control;Elsevier;; ;978-0-12-374753-2;;0;15;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
ICES Zooplankton Methodology Manual;Elsevier;; ;978-0-12-327645-2;;12;0;12;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Identifying Marine Phytoplankton;Elsevier;; ;978-0-12-693018-4;;14;0;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
IFAC Workshop Series;Elsevier;; ;978-0-08-041273-3;;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Illustrated Toxicology;Elsevier;; ;978-0-12-813213-5;;0;8;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Imaging in Pediatrics;Elsevier;; ;978-0-323-47778-9;;0;2;3;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Individual Differences and Personality (Second Edition);Elsevier;; ;978-0-12-416009-5;;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Inflammation, Advancing Age and Nutrition;Elsevier;; ;978-0-12-397803-5;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Innovations in Food Packaging (Second Edition);Elsevier;; ;978-0-12-394601-0;;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Insect Ecology (Fourth Edition);Elsevier;; ;978-0-12-803033-2;;0;3;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Integrated Pest Management;Elsevier;; ;978-0-12-398529-3;;0;1;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Interface Science and Composites;Elsevier;; ;978-0-12-375049-5;1573-4285;1;0;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
International Encyclopedia of the Social & Behavioral Sciences (Second Edition);Elsevier;; ;978-0-08-097087-5;;0;15;83;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Introduction to Food Engineering (Fifth Edition);Elsevier;; ;978-0-12-398530-9;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Introduction to Mineralogy and Petrology;Elsevier;; ;978-0-12-408133-8;;0;0;13;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Introduction to Supercritical Fluids;Elsevier;; ;978-0-444-52215-3;2212-0505;0;6;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Kirk & Bistner's Handbook of Veterinary Procedures and Emergency Treatment (Ninth Edition);Elsevier;; ;978-1-4377-0798-4;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Laboratory Animals;Elsevier;; ;978-0-12-397856-1;;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Land Surface Remote Sensing in Continental Hydrology;Elsevier;; ;978-1-78548-104-8;;0;0;15;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Lead and Public Health;Elsevier;; ;978-0-444-51554-4;1875-1121;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Learning About Learning Disabilities (Fourth Edition);Elsevier;; ;978-0-12-388409-1;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Liquid Chromatography (Second Edition);Elsevier;; ;978-0-12-805392-8;;0;0;7;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Liquid Chromatography (Second Edition);Elsevier;; ;978-0-12-805393-5;;0;1;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Liquid Chromatography: Fundamentals and Instrumentation;Elsevier;; ;978-0-12-415807-8;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Llama and Alpaca Care;Elsevier;; ;978-1-4377-2352-6;;0;0;5;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Logistics of Production and Inventory;Elsevier;; ;978-0-444-87472-6;0927-0507;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
LTE-Advanced;Elsevier;; ;978-0-12-405162-1;;0;15;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Ludwig's Applied Process Design for Chemical and Petrochemical Plants (Fourth Edition), Volume 2;Elsevier;; ;978-0-7506-8366-1;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
MacSween's Pathology of the Liver (Sixth Edition);Elsevier;; ;978-0-7020-3398-8;;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Manson's Tropical Infectious Diseases (Twenty-third Edition);Elsevier;; ;978-0-7020-5101-2;;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Mare Liberum;Elsevier;; ;978-1-4832-8303-6;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Marine Mammals of the World (Second Edition);Elsevier;; ;978-0-12-409542-7;;12;77;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Mass Production of Beneficial Organisms;Elsevier;; ;978-0-12-391453-8;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Mathematica Navigator (Third Edition);Elsevier;; ;978-0-12-374164-6;;0;0;30;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Measuring the User Experience (Second Edition);Elsevier;; ;978-0-12-415781-1;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Mechanical Design Engineering Handbook;Elsevier;; ;978-0-08-097759-1;;2;0;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Medicina de los Trastornos del Sueño  (Tercera Edición);Elsevier;; ;978-84-8086-733-7;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Medicina integrativa  (Segunda Edición);Elsevier;; ;978-84-458-1911-1;;0;4;23;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Metal-Free Synthetic Organic Dyes;Elsevier;; ;978-0-12-815647-6;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Methods for Analysis of Carbohydrate Metabolism in Photosynthetic Organisms;Elsevier;; ;978-0-12-803396-8;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Methods in Biomedical Informatics;Elsevier;; ;978-0-12-401678-1;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Methods in Stream Ecology (Third Edition);Elsevier;; ;978-0-12-813047-6;;0;19;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Métodos de investigación clínica y epidemiológica   (Tercera Edición);Elsevier;; ;978-84-8174-709-6;;0;117;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Microbial Diversity in the Genomic Era;Elsevier;; ;978-0-12-814849-5;;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Microplastic Contamination in Aquatic Environments;Elsevier;; ;978-0-12-813747-5;;0;13;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Microplastic Pollutants;Elsevier;; ;978-0-12-809406-8;;0;12;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Mineral Exploration;Elsevier;; ;978-0-12-416005-7;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Molecular Biology Techniques (Fourth Edition);Elsevier;; ;978-0-12-818024-2;;0;0;6;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Molecular Biology Techniques (Third Edition);Elsevier;; ;978-0-12-385544-2;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
MOVEMENT DISORDERS 4;Elsevier;; ;978-1-4160-6641-5;1877-184X;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Multifunctional Agriculture;Elsevier;; ;978-0-12-805356-0;;0;67;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Mycorrhizal Mediation of Soil;Elsevier;; ;978-0-12-804312-7;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Nanobiomaterials in Clinical Dentistry;William Andrew Publishing;; ;978-1-4557-3127-5;;2;0;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Nanotechnology Safety;Elsevier;; ;978-0-444-59438-9;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Nelson Pediatric Symptom-Based Diagnosis;Elsevier;; ;978-0-323-39956-2;;0;0;3;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Netter. Gastroenterología;Elsevier;; ;978-84-458-1567-0;;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Neuroeconomics (Second Edition);Elsevier;; ;978-0-12-416008-8;;6;0;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Neuroergonomics;Elsevier;; ;978-0-12-811926-6;;0;1;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Neurogenetics, Part II;Elsevier;; ;978-0-444-64076-5;0072-9752;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Neuroimagen. Técnicas y procesos cognitivos;Elsevier;; ;978-84-458-1776-6;;0;4;5;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Neurología pediátrica clínica  (Quinta Edición);Elsevier;; ;978-84-8174-903-8;;0;0;5;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Neurological Rehabilitation;Elsevier;; ;978-0-444-52901-5;0072-9752;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Neuropsicología  (Cuarta Edición);Elsevier;; ;978-84-458-1506-9;;0;4;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
New Aspects of Meat Quality;Woodhead Publishing;; ;978-0-08-100593-4;;0;2;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
