Revista;Publisher;DOI;Proprietary Identifier;Print ISSN;Online ISSN;10-2018;11-2018;12-2018;01-2019;02-2019;03-2019;Archivo;Usuario;Recurso
Chemosphere;Elsevier; ;CHEM;0045-6535;1879-1298;2;8;7;22;21;9;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Marine Systems;Elsevier; ;MARSYS;0924-7963;;1;39;12;12;24;14;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Pediatric Surgery;Elsevier; ;YJPSU;0022-3468;1531-5037;0;21;4;18;9;23;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Bioresource Technology;Elsevier; ;BITE;0960-8524;1873-2976;0;2;0;1;26;21;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Forest Ecology and Management;Elsevier; ;FORECO;0378-1127;;0;1;3;24;6;17;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Gait & Posture;Elsevier; ;GAIPOS;0966-6362;1879-2219;0;8;4;29;0;18;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Atención Primaria;Elsevier; ;APRIM;0212-6567;1578-1275;0;20;2;23;6;16;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Ecotoxicology and Environmental Safety;Elsevier; ;YEESA;0147-6513;1090-2414;0;4;18;9;32;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Sea Research;Elsevier; ;SEARES;1385-1101;;0;25;31;19;11;15;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
TrAC Trends in Analytical Chemistry;Elsevier; ;TRAC;0165-9936;1879-3142;0;0;1;3;38;3;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
International Journal of Biological Macromolecules;Elsevier; ;BIOMAC;0141-8130;1879-0003;0;2;0;12;24;7;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Research Policy;Elsevier; ;RESPOL;0048-7333;;0;5;0;16;10;16;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Applied Acoustics;Elsevier; ;APAC;0003-682X;1872-910X;0;0;0;0;40;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Food Research International;Elsevier; ;FRIN;0963-9969;1873-7145;2;2;5;7;17;16;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Investigación en Educación Médica;Elsevier; ;RIEM;2007-5057;;1;9;3;8;15;17;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Deep Sea Research Part I: Oceanographic Research Papers;Elsevier; ;DSRI;0967-0637;;1;23;14;21;7;11;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Chromatography A;Elsevier; ;CHROMA;0021-9673;1873-3778;0;0;0;5;22;10;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
International Journal of Infectious Diseases;Elsevier; ;IJID;1201-9712;1878-3511;1;13;15;33;0;3;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Cleaner Production;Elsevier; ;JCLP;0959-6526;;0;5;6;0;17;19;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Personality and Individual Differences;Elsevier; ;PAID;0191-8869;;0;1;0;34;1;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Vaccine;Elsevier; ;JVAC;0264-410X;1873-2518;2;12;8;22;6;8;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Journal of Supercritical Fluids;Elsevier; ;SUPFLU;0896-8446;;0;0;0;3;7;25;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Lancet Global Health;Elsevier; ;LANGLO;2214-109X;;1;6;12;15;10;10;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Carbohydrate Polymers;Elsevier; ;CARP;0144-8617;;0;0;0;10;18;6;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Clinical Epidemiology;Elsevier; ;JCE;0895-4356;1878-5921;0;9;3;2;30;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Molecular Graphics and Modelling;Elsevier; ;JMG;1093-3263;1873-4243;0;0;0;32;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Experimental Parasitology;Elsevier; ;YEXPR;0014-4894;1090-2449;0;0;1;22;1;9;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Analytica Chimica Acta;Elsevier; ;ACA;0003-2670;1873-4324;0;0;3;14;17;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Ecological Modelling;Elsevier; ;ECOMOD;0304-3800;;3;6;10;7;3;21;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Environmental Research;Elsevier; ;YENRS;0013-9351;1096-0953;1;16;10;6;14;11;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Expert Systems with Applications;Elsevier; ;ESWA;0957-4174;;1;0;0;2;0;29;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Food Webs;Elsevier; ;FOOWEB;2352-2496;2352-2496;0;37;11;4;20;7;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Remote Sensing of Environment;Elsevier; ;RSE;0034-4257;;1;9;3;16;14;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Agriculture, Ecosystems & Environment;Elsevier; ;AGEE;0167-8809;;0;3;0;14;11;5;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Dairy Science;Elsevier; ;JODS;0022-0302;1525-3198;0;0;3;28;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Environmental Management;Elsevier; ;YJEMA;0301-4797;1095-8630;0;1;3;5;17;8;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Scientia Horticulturae;Elsevier; ;HORTI;0304-4238;;0;11;6;2;13;15;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Estudios Gerenciales;Elsevier; ;ESTGER;0123-5923;0123-5923;0;1;1;11;2;16;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Information and Software Technology;Elsevier; ;INFSOF;0950-5849;;0;0;0;2;0;27;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Big Data Research;Elsevier; ;BDR;2214-5796;;0;0;1;3;23;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Computers in Human Behavior;Elsevier; ;CHB;0747-5632;;0;2;12;16;4;8;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Rural Studies;Elsevier; ;RUST;0743-0167;;0;4;0;0;19;8;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Engineering Structures;Elsevier; ;JEST;0141-0296;1873-7323;0;0;0;15;11;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Futures;Elsevier; ;JFTR;0016-3287;;0;0;1;22;4;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Experimental Marine Biology and Ecology;Elsevier; ;JEMBE;0022-0981;;2;20;3;6;7;13;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Regional Studies in Marine Science;Elsevier; ;RSMA;2352-4855;;0;33;4;8;1;17;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Talanta;Elsevier; ;TAL;0039-9140;;0;1;1;10;11;5;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Computers & Education;Elsevier; ;CAE;0360-1315;;0;9;11;3;16;6;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Industrial Crops and Products;Elsevier; ;INDCRO;0926-6690;;0;4;0;5;9;11;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of the American Academy of Dermatology;Elsevier; ;YMJD;0190-9622;1097-6787;0;0;2;0;0;25;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
LWT;Elsevier; ;YFSTL;0023-6438;;0;8;5;2;12;11;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Computers and Electronics in Agriculture;Elsevier; ;COMPAG;0168-1699;;0;1;2;20;3;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
European Journal of Operational Research;Elsevier; ;EOR;0377-2217;;0;3;0;1;1;22;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Cereal Science;Elsevier; ;YJCRS;0733-5210;1095-9963;0;0;0;0;11;13;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Neurología;Elsevier; ;NRL;0213-4853;1578-1968;0;12;7;14;8;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Hazardous Materials;Elsevier; ;HAZMAT;0304-3894;1873-3336;0;4;1;2;20;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Land Use Policy;Elsevier; ;JLUP;0264-8377;;0;12;0;17;2;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Andaluza de Medicina del Deporte;Elsevier; ;RAMD;1888-7546;;0;0;1;11;2;10;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Computers & Operations Research;Elsevier; ;CAOR;0305-0548;;0;0;0;0;3;19;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Food Engineering;Elsevier; ;JFOE;0260-8774;;0;2;1;3;8;11;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Estuarine, Coastal and Shelf Science;Elsevier; ;YECSS;0272-7714;;0;38;8;5;1;15;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Proteomics;Elsevier; ;JPROT;1874-3919;1876-7737;1;14;10;16;5;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Marine Policy;Elsevier; ;JMPO;0308-597X;;0;6;2;2;6;13;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Annals of Epidemiology;Elsevier; ;AEP;1047-2797;1873-2585;0;2;0;5;15;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Early Human Development;Elsevier; ;EHD;0378-3782;1872-6232;0;0;0;1;19;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Environmental Modelling & Software;Elsevier; ;ENSO;1364-8152;1873-6726;1;0;2;3;9;8;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Agricultural and Forest Meteorology;Elsevier; ;AGMET;0168-1923;;0;0;0;0;19;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Fuel;Elsevier; ;JFUE;0016-2361;;0;0;0;2;2;15;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Infectio;Elsevier; ;INFECT;0123-9392;2422-3794;0;4;6;15;3;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Food Composition and Analysis;Elsevier; ;YJFCA;0889-1575;;0;0;2;3;11;5;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Physics Reports;Elsevier; ;PLREP;0370-1573;;0;0;0;0;0;19;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Iberoamericana de Educación Superior;Elsevier; ;RIDES;2007-2872;2007-2872;0;0;3;2;11;6;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Computers & Industrial Engineering;Elsevier; ;CAIE;0360-8352;;0;0;0;1;0;17;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Enfermería Universitaria;Elsevier; ;REU;1665-7063;;0;2;3;8;7;3;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Chromatography B;Elsevier; ;CHROMB;1570-0232;1873-376X;0;3;0;0;12;6;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Procedia Economics and Finance;Elsevier; ;FINE;2212-5671;2212-5671;0;0;7;14;0;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Technological Forecasting and Social Change;Elsevier; ;TFS;0040-1625;;0;8;7;6;2;10;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Trends in Neurosciences;Elsevier; ;TINS;0166-2236;1878-108X;0;4;5;11;0;7;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Ecological Informatics;Elsevier; ;ECOINF;1574-9541;;0;2;0;12;3;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Field Crops Research;Elsevier; ;FIELD;0378-4290;;0;1;0;14;3;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Fish & Shellfish Immunology;Elsevier; ;YFSIM;1050-4648;1095-9947;1;3;2;2;0;15;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Food Hydrocolloids;Elsevier; ;FOOHYD;0268-005X;;0;0;0;5;7;5;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Biomechanics;Elsevier; ;BM;0021-9290;1873-2380;0;0;0;5;0;12;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Molecular Phylogenetics and Evolution;Elsevier; ;YMPEV;1055-7903;1095-9513;0;0;0;2;2;13;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Ocean Engineering;Elsevier; ;OE;0029-8018;;0;0;0;15;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Renewable Energy;Elsevier; ;RENE;0960-1481;1879-0682;0;3;0;4;9;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Española de Podología;Elsevier; ;REPOD;0210-1238;0210-1238;0;0;0;15;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Trends in Food Science & Technology;Elsevier; ;TIFS;0924-2244;;0;1;2;2;9;6;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Biological Conservation;Elsevier; ;BIOC;0006-3207;;0;59;3;5;7;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Food Control;Elsevier; ;JFCO;0956-7135;;0;1;2;6;10;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
International Journal of Applied Earth Observation and Geoinformation;Elsevier; ;JAG;0303-2434;;0;1;0;10;4;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Neuroscience & Biobehavioral Reviews;Elsevier; ;NBR;0149-7634;1873-7528;0;24;0;16;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Telematics and Informatics;Elsevier; ;TELE;0736-5853;;0;0;1;11;4;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Veterinary Parasitology;Elsevier; ;VETPAR;0304-4017;1873-2550;0;6;22;4;3;9;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Biosystems Engineering;Elsevier; ;YBENG;1537-5110;;0;0;0;15;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Geoforum;Elsevier; ;GEOF;0016-7185;;0;0;0;8;3;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
ISPRS Journal of Photogrammetry and Remote Sensing;Elsevier; ;PHOTO;0924-2716;;0;0;0;12;0;3;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Ethnopharmacology;Elsevier; ;JEP;0378-8741;1872-7573;0;12;28;11;3;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Photodiagnosis and Photodynamic Therapy;Elsevier; ;PDPDT;1572-1000;1873-1597;0;0;0;13;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Lancet;Elsevier; ;LANCET;0140-6736;1474-547X;0;2;10;7;4;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Annals of Agricultural Sciences;Elsevier; ;AOAS;0570-1783;;0;0;0;0;12;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Appetite;Elsevier; ;APPET;0195-6663;1095-8304;0;0;9;0;5;9;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Clinica Chimica Acta;Elsevier; ;CCA;0009-8981;1873-3492;0;5;2;7;6;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
IFAC Proceedings Volumes;Elsevier; ;IPV;1474-6670;;0;1;7;13;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Alloys and Compounds;Elsevier; ;JALCOM;0925-8388;;0;0;4;0;9;5;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Environmental Radioactivity;Elsevier; ;JENR;0265-931X;1879-1700;0;2;4;12;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Hydrology;Elsevier; ;HYDROL;0022-1694;;0;0;4;4;4;6;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Seminars in Cancer Biology;Elsevier; ;YSCBI;1044-579X;1096-3650;0;0;0;0;13;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Toxicon;Elsevier; ;TOXCON;0041-0101;1879-3150;0;47;24;13;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Critical Reviews in Oncology/Hematology;Elsevier; ;ONCH;1040-8428;1879-0461;3;0;0;0;13;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Ecological Engineering;Elsevier; ;ECOENG;0925-8574;;0;0;0;2;4;7;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Energy;Elsevier; ;EGY;0360-5442;;0;2;0;6;3;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Fungal Biology;Elsevier; ;FUNBIO;1878-6146;;0;0;0;0;13;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Nutrition Education and Behavior;Elsevier; ;JNEB;1499-4046;;0;0;0;4;0;9;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Neurobiology of Stress;Elsevier; ;YNSTR;2352-2895;;0;6;6;13;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Perfiles Educativos;Elsevier; ;PE;0185-2698;;0;0;0;0;5;8;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Procedia CIRP;Elsevier; ;PROCIR;2212-8271;2212-8271;0;0;3;12;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Colombiana de Anestesiología;Elsevier; ;RCA;0120-3347;;0;5;2;3;5;5;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Energy Conversion and Management;Elsevier; ;ECM;0196-8904;;0;0;0;5;0;7;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Enfermedades infecciosas y microbiologia clinica (English ed.);Elsevier; ;EIMCE;2529-993X;;0;2;1;12;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Environment International;Elsevier; ;EI;0160-4120;1873-6750;3;17;3;5;5;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Environmental Science & Policy;Elsevier; ;ENVSCI;1462-9011;1873-6416;0;0;0;8;3;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Future Generation Computer Systems;Elsevier; ;FUTURE;0167-739X;;0;0;2;1;0;11;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
